Image_URL,Annotations,Saved_Filename
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/580,108,2412,2130/pct:25/0/default.jpg","banc, cheminée, chien, codex, coiffe, collier.de.chien, cor, coussin, gaston.3.phébus, laisse, lance, meute, plafond, seigneur",btv1b525064305_f14_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/341,2325,943,694/pct:25/0/default.jpg",,btv1b525064305_f14_2.jpg
Image_URL,Annotations,Saved_Filename
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/580,108,2412,2130/pct:25/0/default.jpg","banc, cheminée, chien, codex, coiffe, collier.de.chien, cor, coussin, gaston.3.phébus, laisse, lance, meute, plafond, seigneur",btv1b525064305_f14_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/341,2325,943,694/pct:25/0/default.jpg",,btv1b525064305_f14_2.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f20/1983,1658,1062,1138/pct:25/0/default.jpg","biche, cerf",btv1b525064305_f20_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f28/683,1295,1176,1252/pct:25/0/default.jpg",renne,btv1b525064305_f28_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f29/334,2256,1089,975/pct:25/0/default.jpg",daim,btv1b525064305_f29_1.jpg
Image_URL,Annotations,Saved_Filename
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/580,108,2412,2130/pct:25/0/default.jpg","banc, cheminée, chien, codex, coiffe, collier.de.chien, cor, coussin, gaston.3.phébus, laisse, lance, meute, plafond, seigneur",btv1b525064305_f14_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f14/341,2325,943,694/pct:25/0/default.jpg",,btv1b525064305_f14_2.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f20/1983,1658,1062,1138/pct:25/0/default.jpg","biche, cerf",btv1b525064305_f20_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f28/683,1295,1176,1252/pct:25/0/default.jpg",renne,btv1b525064305_f28_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f29/334,2256,1089,975/pct:25/0/default.jpg",daim,btv1b525064305_f29_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f30/2032,2184,1122,992/pct:25/0/default.jpg",bouquetin,btv1b525064305_f30_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f34/640,1681,1123,1052/pct:25/0/default.jpg","chevreuil, forêt",btv1b525064305_f34_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f37/340,493,1118,1068/pct:25/0/default.jpg","lièvre, ombre",btv1b525064305_f37_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f41/1608,2369,1110,1357/pct:25/0/default.jpg","lapin, terrier",btv1b525064305_f41_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f42/1961,1685,1105,1279/pct:25/0/default.jpg","grotte, ours, source",btv1b525064305_f42_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f46/2097,1756,1090,1068/pct:25/0/default.jpg",sanglier,btv1b525064305_f46_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f50/2099,1047,1036,1177/pct:25/0/default.jpg","dépeçage, loup",btv1b525064305_f50_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b525064305/f56/2007,2051,1074,1269/pct:25/0/default.jpg","chasse, coq, renard, terrier",btv1b525064305_f56_1.jpg
