Image_URL,Annotations,Saved_Filename
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f12/173,453,2997,4314/pct:25/0/default.jpg","appareillage, bénédiction, canne, colonne, croix, décor, nimbe, s.barlaam, s.josaphat, vêtement",btv1b8419219x_f12_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f22/181,550,2513,1709/pct:25/0/default.jpg","abenner, bouquet, couronne, fourrure, lampe, moine, nimbe, palais, rideau, roi, trône, vase, vêtement",btv1b8419219x_f22_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f31/821,681,2355,2081/pct:25/0/default.jpg","abenner, astrologue, couronne, devin, lampe, palais, rideau, roi, scribe, tablette, trône, turban, vêtement",btv1b8419219x_f31_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f32/254,1636,2371,2745/pct:25/0/default.jpg","canne, chope, coiffe, coupe, couronne, cuisine, escalier, feu, fourrure, palais, plateau, s.josaphat, savant, serviteur, turban, vêtement",btv1b8419219x_f32_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f39/797,2679,2436,1975/pct:25/0/default.jpg","abenner, bénédiction, canne, cavalier, chapelet, cheval, couronne, croix, harnais, lance, moine, roi, tapis.de.selle, vêtement",btv1b8419219x_f39_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f43/839,2244,2441,1640/pct:25/0/default.jpg","enseignement, fermail, fourrure, palais, précepteur, rideau, s.josaphat, turban, vêtement",btv1b8419219x_f43_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f47/832,584,2399,1961/pct:25/0/default.jpg","cavalier, cheval, couronne, flûte, harnais, lance, musicien, s.josaphat, tambourin, tapis.de.selle, turban, vêtement",btv1b8419219x_f47_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f52/136,777,2356,1767/pct:25/0/default.jpg","chapelet, colonne, croix, fourrure, palais, précepteur, s.barlaam, s.josaphat, turban",btv1b8419219x_f52_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f54/120,2605,2320,1813/pct:25/0/default.jpg","chapelet, couronne, croix, enseignement, étoffe, fourrure, lampe, palais, plateau, s.barlaam, s.josaphat, trône, vase, vêtement",btv1b8419219x_f54_1.jpg
"https://gallica.bnf.fr/iiif/ark:/12148/btv1b8419219x/f58/151,939,2565,1821/pct:25/0/default.jpg","ascète, cavalier, cheval, harnais, lance, parabole, peau.de.bête, roi",btv1b8419219x_f58_1.jpg
